matched_key,dataset_name,backbone_type,run_id,target_domain,support_seed,support_size_requested,sampling_policy,sampling_policy_effective,support_gap,metadata_gap,embedding_gap,normalized_gap_reduction_vs_metadata,normalized_gap_reduction_vs_static_embedding,top1_delta_vs_metadata,top1_delta_vs_static_embedding,safe_audit
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|100|17|16|class_balanced|class_balanced|target100_seed17_class_balanced_k16,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,100,17,16,class_balanced,class_balanced,0.3235575949241386,0.3235575949241386,0.3235575949241386,0.0,0.0,0.0,0.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|100|17|16|random|random|target100_seed17_random_k16,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,100,17,16,random,random,0.32987785257930674,0.32987785257930674,0.0,0.0,-0.32987785257930674,0.0,-1.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|100|17|32|class_balanced|class_balanced|target100_seed17_class_balanced_k32,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,100,17,32,class_balanced,class_balanced,0.39249303371979455,0.39249303371979455,0.0,0.0,-0.39249303371979455,0.0,-1.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|100|17|32|random|random|target100_seed17_random_k32,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,100,17,32,random,random,0.6120003421664282,0.0,0.6120003421664282,-0.6120003421664282,0.0,-1.0,0.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|100|17|4|class_balanced|class_balanced|target100_seed17_class_balanced_k4,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,100,17,4,class_balanced,class_balanced,1.0,0.21766145816958837,0.0,-0.7823385418304116,-1.0,0.0,-1.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|100|17|4|random|random|target100_seed17_random_k4,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,100,17,4,random,random,0.3573084657907177,0.3573084657907177,0.3573084657907177,0.0,0.0,0.0,0.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|100|17|64|class_balanced|random_fallback|target100_seed17_random_fallback_k64,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,100,17,64,class_balanced,random_fallback,0.0,0.43200780095627783,0.0,0.43200780095627783,0.0,1.0,0.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|100|17|64|random|random|target100_seed17_random_k64,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,100,17,64,random,random,0.0,0.43200780095627783,0.0,0.43200780095627783,0.0,1.0,0.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|100|17|8|class_balanced|class_balanced|target100_seed17_class_balanced_k8,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,100,17,8,class_balanced,class_balanced,0.2594446953747824,0.2594446953747824,0.2594446953747824,0.0,0.0,0.0,0.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|100|17|8|random|random|target100_seed17_random_k8,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,100,17,8,random,random,0.0,0.27219393827545413,0.0,0.27219393827545413,0.0,1.0,0.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|100|23|16|class_balanced|class_balanced|target100_seed23_class_balanced_k16,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,100,23,16,class_balanced,class_balanced,0.0,0.17920943287257227,0.0,0.17920943287257227,0.0,1.0,0.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|100|23|16|random|random|target100_seed23_random_k16,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,100,23,16,random,random,0.0,0.1916962421876221,0.0,0.1916962421876221,0.0,1.0,0.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|100|23|32|class_balanced|class_balanced|target100_seed23_class_balanced_k32,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,100,23,32,class_balanced,class_balanced,0.0,0.21938587390577607,0.21938587390577607,0.21938587390577607,0.21938587390577607,1.0,1.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|100|23|32|random|random|target100_seed23_random_k32,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,100,23,32,random,random,0.6989796922064335,0.6989796922064335,0.0,0.0,-0.6989796922064335,0.0,-1.0,1
