dataset_name,seed,backbone_type,run_id,variant,run_dir,target_domain,support_seed,support_size_requested,support_size_actual,eval_size,sampling_policy,sampling_policy_effective,split_status,no_data_reason,candidate_experts,excluded_experts,target_expert_excluded,support_eval_disjoint,support_labels_used,support_is_target_local,support_eval_split_id,oracle_expert,oracle_eval_nelbo,worst_eval_nelbo,support_nelbo_by_expert_json,eval_nelbo_by_expert_json,support_rank_by_expert_json,eval_rank_by_expert_json,calibration_mae,spearman_support_vs_eval_utility,method,adoption_eligible,diagnostic_only,exploratory_only,baseline_available,source_method,routing_uses_eval_nelbo,routing_uses_eval_indices,selected_expert,support_mean_nelbo,selected_eval_nelbo,oracle_gap,normalized_oracle_gap,top1_oracle_hit,selection_margin
breakhis,42,dinov2_vitb14,2026-03-18_1538_seed42,B,/home/stud/spark/cvae_metadata_routing/cvae_testing/outputs/breakhis/hybrid_ablation_extractor_dinov2_vitb14_v1/2026-03-18_1538_seed42,40,17,4,4,71,class_balanced,class_balanced,ok,,100|200|400,40,1,1,1,1,target40_seed17_class_balanced_k4,400,0.16768120271219333,0.17315810908314208,"{""100"":0.21762504428625107,""200"":0.14855271205306053,""400"":0.16580922156572342}","{""100"":0.17315810908314208,""200"":0.16918705225410596,""400"":0.16768120271219333}","{""100"":3,""200"":1,""400"":2}","{""100"":3,""200"":2,""400"":1}",0.17492590686233614,0.5,domain_oracle,0,1,0,1,,1,1,400,0.16580922156572342,0.16768120271219333,0.0,0.0,1.0,0.0015058495419126294
breakhis,42,dinov2_vitb14,2026-03-18_1538_seed42,B,/home/stud/spark/cvae_metadata_routing/cvae_testing/outputs/breakhis/hybrid_ablation_extractor_dinov2_vitb14_v1/2026-03-18_1538_seed42,40,17,4,4,71,class_balanced,class_balanced,ok,,100|200|400,40,1,1,1,1,target40_seed17_class_balanced_k4,400,0.16768120271219333,0.17315810908314208,"{""100"":0.21762504428625107,""200"":0.14855271205306053,""400"":0.16580922156572342}","{""100"":0.17315810908314208,""200"":0.16918705225410596,""400"":0.16768120271219333}","{""100"":3,""200"":1,""400"":2}","{""100"":3,""200"":2,""400"":1}",0.17492590686233614,0.5,metadata_ordinal_baseline,1,0,0,1,,0,0,100,0.21762504428625107,0.17315810908314208,0.0054769063709487475,1.0,0.0,0.34691511809937103
breakhis,42,dinov2_vitb14,2026-03-18_1538_seed42,B,/home/stud/spark/cvae_metadata_routing/cvae_testing/outputs/breakhis/hybrid_ablation_extractor_dinov2_vitb14_v1/2026-03-18_1538_seed42,40,17,4,4,71,class_balanced,class_balanced,ok,,100|200|400,40,1,1,1,1,target40_seed17_class_balanced_k4,400,0.16768120271219333,0.17315810908314208,"{""100"":0.21762504428625107,""200"":0.14855271205306053,""400"":0.16580922156572342}","{""100"":0.17315810908314208,""200"":0.16918705225410596,""400"":0.16768120271219333}","{""100"":3,""200"":1,""400"":2}","{""100"":3,""200"":2,""400"":1}",0.17492590686233614,0.5,per_query_oracle,0,1,0,1,,1,1,-1,0.17732899263501167,0.1203328456047555,0.0,0.0,1.0,0.0
breakhis,42,dinov2_vitb14,2026-03-18_1538_seed42,B,/home/stud/spark/cvae_metadata_routing/cvae_testing/outputs/breakhis/hybrid_ablation_extractor_dinov2_vitb14_v1/2026-03-18_1538_seed42,40,17,4,4,71,class_balanced,class_balanced,ok,,100|200|400,40,1,1,1,1,target40_seed17_class_balanced_k4,400,0.16768120271219333,0.17315810908314208,"{""100"":0.21762504428625107,""200"":0.14855271205306053,""400"":0.16580922156572342}","{""100"":0.17315810908314208,""200"":0.16918705225410596,""400"":0.16768120271219333}","{""100"":3,""200"":1,""400"":2}","{""100"":3,""200"":2,""400"":1}",0.17492590686233614,0.5,static_embedding_baseline,1,0,0,1,,0,0,100,0.21762504428625107,0.17315810908314208,0.0054769063709487475,1.0,0.0,3.605012648755455
breakhis,42,dinov2_vitb14,2026-03-18_1538_seed42,B,/home/stud/spark/cvae_metadata_routing/cvae_testing/outputs/breakhis/hybrid_ablation_extractor_dinov2_vitb14_v1/2026-03-18_1538_seed42,40,17,4,4,71,class_balanced,class_balanced,ok,,100|200|400,40,1,1,1,1,target40_seed17_class_balanced_k4,400,0.16768120271219333,0.17315810908314208,"{""100"":0.21762504428625107,""200"":0.14855271205306053,""400"":0.16580922156572342}","{""100"":0.17315810908314208,""200"":0.16918705225410596,""400"":0.16768120271219333}","{""100"":3,""200"":1,""400"":2}","{""100"":3,""200"":2,""400"":1}",0.17492590686233614,0.5,support_set_calibration_top1,1,0,0,1,,0,0,200,0.14855271205306053,0.16918705225410596,0.0015058495419126294,0.2749452774836784,0.0,0.017256509512662888
breakhis,42,dinov2_vitb14,2026-03-18_1538_seed42,B,/home/stud/spark/cvae_metadata_routing/cvae_testing/outputs/breakhis/hybrid_ablation_extractor_dinov2_vitb14_v1/2026-03-18_1538_seed42,40,17,4,4,71,random,random,ok,,100|200|400,40,1,1,0,1,target40_seed17_random_k4,400,0.16798278794322216,0.17392179810665023,"{""100"":0.20406956411898136,""200"":0.1216595321893692,""400"":0.160456083714962}","{""100"":0.17392179810665023,""200"":0.17070216097882096,""400"":0.16798278794322216}","{""100"":3,""200"":1,""400"":2}","{""100"":3,""200"":2,""400"":1}",0.30955261011512103,0.5,domain_oracle,0,1,0,1,,1,1,400,0.160456083714962,0.16798278794322216,0.0,0.0,1.0,0.002719373035598799
breakhis,42,dinov2_vitb14,2026-03-18_1538_seed42,B,/home/stud/spark/cvae_metadata_routing/cvae_testing/outputs/breakhis/hybrid_ablation_extractor_dinov2_vitb14_v1/2026-03-18_1538_seed42,40,17,4,4,71,random,random,ok,,100|200|400,40,1,1,0,1,target40_seed17_random_k4,400,0.16798278794322216,0.17392179810665023,"{""100"":0.20406956411898136,""200"":0.1216595321893692,""400"":0.160456083714962}","{""100"":0.17392179810665023,""200"":0.17070216097882096,""400"":0.16798278794322216}","{""100"":3,""200"":1,""400"":2}","{""100"":3,""200"":2,""400"":1}",0.30955261011512103,0.5,metadata_ordinal_baseline,1,0,0,1,,0,0,100,0.20406956411898136,0.17392179810665023,0.005939010163428071,1.0,0.0,0.34691511809937103
breakhis,42,dinov2_vitb14,2026-03-18_1538_seed42,B,/home/stud/spark/cvae_metadata_routing/cvae_testing/outputs/breakhis/hybrid_ablation_extractor_dinov2_vitb14_v1/2026-03-18_1538_seed42,40,17,4,4,71,random,random,ok,,100|200|400,40,1,1,0,1,target40_seed17_random_k4,400,0.16798278794322216,0.17392179810665023,"{""100"":0.20406956411898136,""200"":0.1216595321893692,""400"":0.160456083714962}","{""100"":0.17392179810665023,""200"":0.17070216097882096,""400"":0.16798278794322216}","{""100"":3,""200"":1,""400"":2}","{""100"":3,""200"":2,""400"":1}",0.30955261011512103,0.5,per_query_oracle,0,1,0,1,,1,1,-1,0.16206172667443752,0.12248063570177051,0.0,0.0,1.0,0.0
breakhis,42,dinov2_vitb14,2026-03-18_1538_seed42,B,/home/stud/spark/cvae_metadata_routing/cvae_testing/outputs/breakhis/hybrid_ablation_extractor_dinov2_vitb14_v1/2026-03-18_1538_seed42,40,17,4,4,71,random,random,ok,,100|200|400,40,1,1,0,1,target40_seed17_random_k4,400,0.16798278794322216,0.17392179810665023,"{""100"":0.20406956411898136,""200"":0.1216595321893692,""400"":0.160456083714962}","{""100"":0.17392179810665023,""200"":0.17070216097882096,""400"":0.16798278794322216}","{""100"":3,""200"":1,""400"":2}","{""100"":3,""200"":2,""400"":1}",0.30955261011512103,0.5,static_embedding_baseline,1,0,0,1,,0,0,100,0.20406956411898136,0.17392179810665023,0.005939010163428071,1.0,0.0,2.7334435528182848
breakhis,42,dinov2_vitb14,2026-03-18_1538_seed42,B,/home/stud/spark/cvae_metadata_routing/cvae_testing/outputs/breakhis/hybrid_ablation_extractor_dinov2_vitb14_v1/2026-03-18_1538_seed42,40,17,4,4,71,random,random,ok,,100|200|400,40,1,1,0,1,target40_seed17_random_k4,400,0.16798278794322216,0.17392179810665023,"{""100"":0.20406956411898136,""200"":0.1216595321893692,""400"":0.160456083714962}","{""100"":0.17392179810665023,""200"":0.17070216097882096,""400"":0.16798278794322216}","{""100"":3,""200"":1,""400"":2}","{""100"":3,""200"":2,""400"":1}",0.30955261011512103,0.5,support_set_calibration_top1,1,0,0,1,,0,0,200,0.1216595321893692,0.17070216097882096,0.002719373035598799,0.45788320962042983,0.0,0.038796551525592804
breakhis,42,dinov2_vitb14,2026-03-18_1538_seed42,B,/home/stud/spark/cvae_metadata_routing/cvae_testing/outputs/breakhis/hybrid_ablation_extractor_dinov2_vitb14_v1/2026-03-18_1538_seed42,40,17,8,8,67,class_balanced,class_balanced,ok,,100|200|400,40,1,1,1,1,target40_seed17_class_balanced_k8,400,0.16448536137146735,0.17123643553523876,"{""100"":0.21148559264838696,""200"":0.16724983789026737,""400"":0.19351038336753845}","{""100"":0.17123643553523876,""200"":0.16818646052435263,""400"":0.16448536137146735}","{""100"":3,""200"":1,""400"":2}","{""100"":3,""200"":2,""400"":1}",0.38062450339680115,0.5,domain_oracle,0,1,0,1,,1,1,400,0.19351038336753845,0.16448536137146735,0.0,0.0,1.0,0.0037010991528852732
breakhis,42,dinov2_vitb14,2026-03-18_1538_seed42,B,/home/stud/spark/cvae_metadata_routing/cvae_testing/outputs/breakhis/hybrid_ablation_extractor_dinov2_vitb14_v1/2026-03-18_1538_seed42,40,17,8,8,67,class_balanced,class_balanced,ok,,100|200|400,40,1,1,1,1,target40_seed17_class_balanced_k8,400,0.16448536137146735,0.17123643553523876,"{""100"":0.21148559264838696,""200"":0.16724983789026737,""400"":0.19351038336753845}","{""100"":0.17123643553523876,""200"":0.16818646052435263,""400"":0.16448536137146735}","{""100"":3,""200"":1,""400"":2}","{""100"":3,""200"":2,""400"":1}",0.38062450339680115,0.5,metadata_ordinal_baseline,1,0,0,1,,0,0,100,0.21148559264838696,0.17123643553523876,0.006751074163771409,1.0,0.0,0.34691511809937103
