scope,support_size,heldout_center,alpha,count,pct
overall,,,0.0,47,97.91666666666667
overall,,,1.5,1,2.0833333333333335
overall,,,nonzero,1,2.0833333333333335
by_support_size,4,,0.0,12,100.0
by_support_size,4,,nonzero,0,0.0
by_support_size,8,,0.0,12,100.0
by_support_size,8,,nonzero,0,0.0
by_support_size,16,,0.0,12,100.0
by_support_size,16,,nonzero,0,0.0
by_support_size,32,,0.0,11,91.66666666666667
by_support_size,32,,1.5,1,8.333333333333334
by_support_size,32,,nonzero,1,8.333333333333334
by_heldout_center,,40,0.0,11,91.66666666666667
by_heldout_center,,40,1.5,1,8.333333333333334
by_heldout_center,,40,nonzero,1,8.333333333333334
by_heldout_center,,100,0.0,12,100.0
by_heldout_center,,100,nonzero,0,0.0
by_heldout_center,,200,0.0,12,100.0
by_heldout_center,,200,nonzero,0,0.0
by_heldout_center,,400,0.0,12,100.0
by_heldout_center,,400,nonzero,0,0.0
