heldout_magnification,support_size,support_seed,seed,selected_expert,oracle_expert,support_nelbo_selected,eval_nelbo_selected,eval_nelbo_oracle,oracle_gap_pct,metadata_selected_expert,static_embedding_selected_expert
40,4,17,42,100,100,516.4342269897461,450.42402463612325,450.42402463612325,0.0,100,100
40,4,17,43,100,100,434.0547637939453,462.90638675252114,462.90638675252114,0.0,100,100
40,4,17,44,100,100,296.0016555786133,431.16564000638806,431.16564000638806,0.0,100,100
40,4,23,42,100,100,621.9394989013672,437.4242318783166,437.4242318783166,0.0,100,100
40,4,23,43,100,100,542.1860046386719,460.4927729438333,460.4927729438333,0.0,100,100
40,4,23,44,100,100,373.3223114013672,420.7835795585745,420.7835795585745,0.0,100,100
40,4,31,42,100,100,578.1820678710938,424.26884873001666,424.26884873001666,0.0,100,100
40,4,31,43,100,100,633.141731262207,446.8770876345427,446.8770876345427,0.0,100,100
40,4,31,44,100,100,556.4508895874023,405.6492743844234,405.6492743844234,0.0,100,100
40,8,17,42,100,100,431.4144973754883,456.7633731322881,456.7633731322881,0.0,100,100
40,8,17,43,100,100,549.4425430297852,446.62862396240234,446.62862396240234,0.0,100,100
40,8,17,44,100,100,431.8981590270996,422.9055175559465,422.9055175559465,0.0,100,100
40,8,23,42,100,100,542.5046539306641,433.3577333738478,433.3577333738478,0.0,100,100
40,8,23,43,100,100,437.120080947876,452.75293128203236,452.75293128203236,0.0,100,100
40,8,23,44,100,100,341.55908203125,419.1731652646309,419.1731652646309,0.0,100,100
40,8,31,42,100,100,530.6780872344971,413.2888481533843,413.2888481533843,0.0,100,100
40,8,31,43,100,100,767.6849937438965,428.8034311051064,428.8034311051064,0.0,100,100
40,8,31,44,100,100,518.6700897216797,393.85938388011493,393.85938388011493,0.0,100,100
40,16,17,42,100,100,487.0349636077881,432.7467596483796,432.7467596483796,0.0,100,100
40,16,17,43,100,100,475.31390953063965,447.33525791496436,447.33525791496436,0.0,100,100
40,16,17,44,100,100,413.8864040374756,424.98015886107925,424.98015886107925,0.0,100,100
40,16,23,42,100,100,495.1026611328125,434.8964774420005,434.8964774420005,0.0,100,100
40,16,23,43,100,100,550.8266820907593,431.9883714430403,431.9883714430403,0.0,100,100
40,16,23,44,100,100,386.5132884979248,391.52269643147787,391.52269643147787,0.0,100,100
40,16,31,42,100,100,475.31217861175537,426.7762172974561,426.7762172974561,0.0,100,100
40,16,31,43,100,100,635.5416975021362,408.9910925410963,408.9910925410963,0.0,100,100
40,16,31,44,100,100,482.5538454055786,393.4148336577834,393.4148336577834,0.0,100,100
40,32,17,42,100,100,484.4944896697998,418.14008514790595,418.14008514790595,0.0,100,100
40,32,17,43,100,100,475.21587562561035,385.53717087536324,385.53717087536324,0.0,100,100
40,32,17,44,100,100,447.69549322128296,322.5432400173611,322.5432400173611,0.0,100,100
40,32,23,42,100,100,521.8594570159912,420.4977047793515,420.4977047793515,0.0,100,100
40,32,23,43,100,100,491.06021642684937,450.4033388012517,450.4033388012517,0.0,100,100
40,32,23,44,100,100,394.8896360397339,449.19265731579156,449.19265731579156,0.0,100,100
40,32,31,42,100,100,434.0299983024597,430.47943486922827,430.47943486922827,0.0,100,100
40,32,31,43,100,100,521.3564863204956,439.3901803432367,439.3901803432367,0.0,100,100
40,32,31,44,100,100,451.1393151283264,375.25419641990027,375.25419641990027,0.0,100,100
100,4,17,42,200,200,322.7555618286133,349.2186669222109,349.2186669222109,0.0,40,200
100,4,17,43,40,200,413.75099182128906,396.0863094258398,352.95951319395675,12.218624125363684,40,40
100,4,17,44,200,200,310.0409164428711,336.9265649045293,336.9265649045293,0.0,40,200
100,4,23,42,200,200,299.3931007385254,358.56615989741294,358.56615989741294,0.0,40,200
100,4,23,43,200,200,293.28614807128906,361.91405592522915,361.91405592522915,0.0,40,200
100,4,23,44,200,200,353.6576499938965,340.846695905843,340.846695905843,0.0,40,200
100,4,31,42,40,200,365.2339553833008,362.9974751225224,350.7895598800094,3.480125020450679,40,40
100,4,31,43,200,200,452.5460433959961,350.1443035933223,350.1443035933223,0.0,40,200
100,4,31,44,40,200,385.5741996765137,382.2264149286976,335.7927588133854,13.82806951507772,40,200
100,8,17,42,40,200,387.19852447509766,357.3753845903534,344.73843807763876,3.665662170769791,40,40
100,8,17,43,200,200,371.6493148803711,359.15448846709864,359.15448846709864,0.0,40,200
100,8,17,44,200,200,288.37799644470215,344.2440483697027,344.2440483697027,0.0,40,200
100,8,23,42,200,200,289.1424922943115,359.81276516748176,359.81276516748176,0.0,40,200
100,8,23,43,200,200,393.8639659881592,365.17463268129165,365.17463268129165,0.0,40,200
100,8,23,44,200,200,362.97933769226074,339.7913996757125,339.7913996757125,0.0,40,200
100,8,31,42,40,200,350.4799385070801,361.5369927314535,343.9037049531604,5.127391047064975,40,40
100,8,31,43,200,200,350.9494800567627,354.40654411419297,354.40654411419297,0.0,40,200
100,8,31,44,200,200,352.9982166290283,332.96821994396726,332.96821994396726,0.0,40,200
100,16,17,42,40,200,344.64929962158203,364.22178933237694,345.1941590004779,5.512153040768197,40,40
100,16,17,43,40,200,411.2920436859131,392.89106147930994,342.46297501299847,14.72512071250839,40,40
100,16,17,44,200,200,348.51787757873535,333.72831880345063,333.72831880345063,0.0,40,200
100,16,23,42,200,200,345.18620204925537,354.18508762858363,354.18508762858363,0.0,40,200
100,16,23,43,200,200,363.2229108810425,374.55379111866534,374.55379111866534,0.0,40,200
100,16,23,44,200,200,330.11830615997314,339.2152644408739,339.2152644408739,0.0,40,200
100,16,31,42,40,200,371.63951683044434,364.79775247872425,345.1899099051403,5.680305829035456,40,40
100,16,31,43,200,200,341.70690631866455,352.9069431398323,352.9069431398323,0.0,40,200
100,16,31,44,200,200,349.92448902130127,336.0324481347364,336.0324481347364,0.0,40,200
100,32,17,42,40,40,358.46180534362793,347.0795299723997,347.0795299723997,0.0,40,200
100,32,17,43,200,200,353.6379623413086,374.9739226407783,374.9739226407783,0.0,40,200
100,32,17,44,200,200,358.85848093032837,319.32638871402486,319.32638871402486,0.0,40,200
100,32,23,42,200,200,363.97945833206177,329.5839285108778,329.5839285108778,0.0,40,200
100,32,23,43,200,200,375.53621673583984,319.6921444054806,319.6921444054806,0.0,40,200
100,32,23,44,200,200,334.2751874923706,304.1356560035988,304.1356560035988,0.0,40,200
100,32,31,42,40,200,361.38510608673096,355.9756905182063,347.0698154739469,2.566018318849722,40,200
100,32,31,43,200,200,340.74997329711914,412.5891018175099,412.5891018175099,0.0,40,200
100,32,31,44,200,200,338.5957283973694,345.80538737943385,345.80538737943385,0.0,40,200
200,4,17,42,100,400,372.7499885559082,364.2497327888537,361.60256773750734,0.7320647825896981,40,400
200,4,17,43,100,400,441.11722564697266,400.69291996336983,364.8237316947343,9.831922967842733,40,100
200,4,17,44,100,400,322.22400665283203,395.6393284922258,364.3937598475368,8.574671711656704,40,100
200,4,23,42,400,400,325.41167068481445,369.73086563206317,369.73086563206317,0.0,40,100
200,4,23,43,400,400,371.2905578613281,368.67850071199643,368.67850071199643,0.0,40,100
200,4,23,44,400,400,290.57247161865234,366.9916871130686,366.9916871130686,0.0,40,100
