scope,method,heldout_center,k,selected_expert,count,share
overall,conservative_support_nelbo,,,0,57,0.31666666666666665
overall,conservative_support_nelbo,,,1,25,0.1388888888888889
overall,conservative_support_nelbo,,,2,7,0.03888888888888889
overall,conservative_support_nelbo,,,3,65,0.3611111111111111
overall,conservative_support_nelbo,,,4,26,0.14444444444444443
by_center_k,conservative_support_nelbo,0,16,3,9,1.0
by_center_k,conservative_support_nelbo,0,32,3,9,1.0
by_center_k,conservative_support_nelbo,0,4,1,1,0.1111111111111111
by_center_k,conservative_support_nelbo,0,4,3,8,0.8888888888888888
by_center_k,conservative_support_nelbo,0,8,1,1,0.1111111111111111
by_center_k,conservative_support_nelbo,0,8,2,1,0.1111111111111111
by_center_k,conservative_support_nelbo,0,8,3,7,0.7777777777777778
by_center_k,conservative_support_nelbo,1,16,2,1,0.1111111111111111
by_center_k,conservative_support_nelbo,1,16,3,8,0.8888888888888888
by_center_k,conservative_support_nelbo,1,32,3,9,1.0
by_center_k,conservative_support_nelbo,1,4,0,1,0.1111111111111111
by_center_k,conservative_support_nelbo,1,4,2,1,0.1111111111111111
by_center_k,conservative_support_nelbo,1,4,3,7,0.7777777777777778
by_center_k,conservative_support_nelbo,1,8,2,2,0.2222222222222222
by_center_k,conservative_support_nelbo,1,8,3,7,0.7777777777777778
by_center_k,conservative_support_nelbo,2,16,0,3,0.3333333333333333
by_center_k,conservative_support_nelbo,2,16,4,6,0.6666666666666666
by_center_k,conservative_support_nelbo,2,32,0,2,0.2222222222222222
by_center_k,conservative_support_nelbo,2,32,4,7,0.7777777777777778
by_center_k,conservative_support_nelbo,2,4,0,2,0.2222222222222222
by_center_k,conservative_support_nelbo,2,4,3,1,0.1111111111111111
by_center_k,conservative_support_nelbo,2,4,4,6,0.6666666666666666
by_center_k,conservative_support_nelbo,2,8,0,2,0.2222222222222222
by_center_k,conservative_support_nelbo,2,8,4,7,0.7777777777777778
by_center_k,conservative_support_nelbo,3,16,0,6,0.6666666666666666
by_center_k,conservative_support_nelbo,3,16,1,3,0.3333333333333333
by_center_k,conservative_support_nelbo,3,32,0,5,0.5555555555555556
by_center_k,conservative_support_nelbo,3,32,1,4,0.4444444444444444
by_center_k,conservative_support_nelbo,3,4,0,5,0.5555555555555556
by_center_k,conservative_support_nelbo,3,4,1,4,0.4444444444444444
by_center_k,conservative_support_nelbo,3,8,0,5,0.5555555555555556
by_center_k,conservative_support_nelbo,3,8,1,4,0.4444444444444444
by_center_k,conservative_support_nelbo,4,16,0,7,0.7777777777777778
by_center_k,conservative_support_nelbo,4,16,1,2,0.2222222222222222
by_center_k,conservative_support_nelbo,4,32,0,7,0.7777777777777778
by_center_k,conservative_support_nelbo,4,32,1,2,0.2222222222222222
by_center_k,conservative_support_nelbo,4,4,0,5,0.5555555555555556
by_center_k,conservative_support_nelbo,4,4,1,2,0.2222222222222222
by_center_k,conservative_support_nelbo,4,4,2,2,0.2222222222222222
by_center_k,conservative_support_nelbo,4,8,0,7,0.7777777777777778
by_center_k,conservative_support_nelbo,4,8,1,2,0.2222222222222222
overall,direct_support_nelbo,,,0,57,0.31666666666666665
overall,direct_support_nelbo,,,1,25,0.1388888888888889
overall,direct_support_nelbo,,,2,6,0.03333333333333333
overall,direct_support_nelbo,,,3,66,0.36666666666666664
overall,direct_support_nelbo,,,4,26,0.14444444444444443
by_center_k,direct_support_nelbo,0,16,3,9,1.0
by_center_k,direct_support_nelbo,0,32,3,9,1.0
by_center_k,direct_support_nelbo,0,4,1,1,0.1111111111111111
by_center_k,direct_support_nelbo,0,4,3,8,0.8888888888888888
