domain_axis,domain_name,domain_id_for_axis,total_cases,train_cases,val_cases,eval_cases,train_positives,train_negatives,eval_positives,eval_negatives,total_rows,eligible,ineligible_reasons
scanner_model,3D Histech,0,197,90,19,88,2574,2574,2736,2696,12160,True,
scanner_model,Aperio CS2,1,100,44,10,46,1475,937,1243,917,5069,True,
scanner_model,Hamamatsu S360,2,46,20,3,23,183,183,371,371,1164,True,
scanner_model,Hamamatsu XR,3,149,69,14,66,1132,828,836,836,4176,True,
tumor_type,canine cutaneous mast cell tumor,0,50,22,5,23,1162,624,929,603,3693,True,
tumor_type,canine lung cancer,1,44,20,4,20,371,371,453,413,1670,True,
tumor_type,canine lymphoma,2,55,25,6,24,1702,1702,1605,1605,7918,True,
tumor_type,canine soft tissue sarcoma,3,98,45,9,44,501,501,678,678,2572,True,
tumor_type,human breast cancer,4,143,64,12,67,745,745,826,826,3442,True,
tumor_type,human melanoma,5,48,22,4,22,710,406,363,363,1996,True,
tumor_type,human neuroendocrine tumor,6,54,25,6,23,173,173,332,332,1278,True,
tumor_type|lab_or_origin|scanner_model,canine cutaneous mast cell tumor|FU Berlin|Aperio CS2,0,50,22,5,23,1162,624,929,603,3693,True,
tumor_type|lab_or_origin|scanner_model,canine lung cancer|VMU Vienna|3D Histech,1,44,20,4,20,371,371,453,413,1670,True,
tumor_type|lab_or_origin|scanner_model,canine lymphoma|VMU Vienna|3D Histech,2,55,25,6,24,1702,1702,1605,1605,7918,True,
tumor_type|lab_or_origin|scanner_model,canine soft tissue sarcoma|AMC New York|3D Histech,3,84,38,7,39,382,382,639,639,2194,True,
tumor_type|lab_or_origin|scanner_model,canine soft tissue sarcoma|VMU Vienna|3D Histech,4,14,7,2,5,119,119,39,39,378,False,total_cases<20;train_cases<10;eval_cases<10
tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Aperio CS2,5,50,22,5,23,313,313,314,314,1376,True,
tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu S360,6,46,20,3,23,183,183,371,371,1164,True,
tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,47,22,4,21,249,249,141,141,902,True,
tumor_type|lab_or_origin|scanner_model,human melanoma|UMC Utrecht|Hamamatsu XR,8,48,22,4,22,710,406,363,363,1996,True,
tumor_type|lab_or_origin|scanner_model,human neuroendocrine tumor|UMC Utrecht|Hamamatsu XR,9,54,25,6,23,173,173,332,332,1278,True,
