sample_id,case_id,image_path,annotation_id,bbox_x,bbox_y,bbox_w,bbox_h,patch_center_x,patch_center_y,label,label_name,scanner_model,lab_or_origin,tumor_type,species,resolution,domain_axis,domain_name,domain_id,center,magnification,split,negative_match_scope
002__002__ann10__y1,002,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/002__002__ann10__y1.jpg,10,6242,3193,50,50,6267,3218,1,mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,train,positive_same_case
002__002__ann11__y0,002,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/002__002__ann11__y0.jpg,11,7045,3791,50,50,7070,3816,0,not mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,train,same_case
002__002__ann12__y0,002,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/002__002__ann12__y0.jpg,12,4450,4059,50,50,4475,4084,0,not mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,train,same_case
002__002__ann13__y1,002,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/002__002__ann13__y1.jpg,13,4636,4294,50,50,4661,4319,1,mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,train,positive_same_case
002__002__ann14__y1,002,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/002__002__ann14__y1.jpg,14,1306,4912,50,50,1331,4937,1,mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,train,positive_same_case
002__002__ann15__y0,002,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/002__002__ann15__y0.jpg,15,4341,5213,50,50,4366,5238,0,not mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,train,same_case
002__002__ann16__y0,002,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/002__002__ann16__y0.jpg,16,3683,5245,50,50,3708,5270,0,not mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,train,same_case
002__002__ann17__y1,002,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/002__002__ann17__y1.jpg,17,1291.5,2758,50,50,1316.5,2783,1,mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,train,positive_same_case
002__002__ann18__y1,002,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/002__002__ann18__y1.jpg,18,3506.5,2461.5,50,50,3531.5,2486.5,1,mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,train,positive_same_case
002__002__ann19__y0,002,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/002__002__ann19__y0.jpg,19,4582,2336,50,50,4607,2361,0,not mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,train,same_case
002__002__ann20__y1,002,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/002__002__ann20__y1.jpg,20,2172,3232.5,50,50,2197,3257.5,1,mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,train,positive_same_case
002__002__ann5__y0,002,datasets/midogpp/artifacts/midogpp_annotation_patch_v1/patches_224/002__002__ann5__y0.jpg,5,1872,319,50,50,1897,344,0,not mitotic figure,Hamamatsu XR,UMC Utrecht,human breast cancer,Human,unknown,tumor_type|lab_or_origin|scanner_model,human breast cancer|UMC Utrecht|Hamamatsu XR,7,7,7,train,same_case
