row_index,sample_id,case_id,annotation_id,label,split,center,raw_tiff_path,raw_tiff_sha256,level,orientation,image_width,image_height,bbox_x,bbox_y,bbox_w,bbox_h,policy_id,bbox_x0,bbox_y0,bbox_x1,bbox_y1,original_area,original_centroid_x,original_centroid_y,clipped_x0,clipped_y0,clipped_x1,clipped_y1,clipped_area,clipped_area_fraction,anchor_x,anchor_y,anchor_delta_x,anchor_delta_y,was_clipped,mpp_x,mpp_y,mpp_source,scale_geometry_json
0,002__002__ann10__y1,002,10,1,train,7,datasets/midogpp/raw/MIDOGpp/images/002.tiff,69ffbf39bfb9cec2d1961220904a90fa999c53aeed5e51f3b4fec5630d3ce793,0,1,7215,5412,6242.0,3193.0,50.0,50.0,continuous_half_open_bbox_image_intersection_centroid_v1,6242.0,3193.0,6292.0,3243.0,2500.0,6267.0,3218.0,6242.0,3193.0,6292.0,3243.0,2500.0,1.0,6267.0,3218.0,0.0,0.0,False,0.22690727175272468,0.22690727175272468,tiff,"{""112um"":{""anchor_x"":6267.0,""anchor_y"":3218.0,""fov_um"":112.0,""mpp_x"":0.22690727175272468,""mpp_y"":0.22690727175272468,""p_x"":0.5,""p_y"":0.5,""pad_bottom"":0,""pad_left"":0,""pad_right"":0,""pad_top"":0,""padding_fraction"":0.0,""realized_x0"":6020,""realized_x1"":6514,""realized_y0"":2971,""realized_y1"":3465,""requested_x0"":6020,""requested_x1"":6514,""requested_y0"":2971,""requested_y1"":3465,""shift_x"":0,""shift_y"":0,""side_px"":494,""token_start_col"":6,""token_start_row"":6},""28um"":{""anchor_x"":6267.0,""anchor_y"":3218.0,""fov_um"":28.0,""mpp_x"":0.22690727175272468,""mpp_y"":0.22690727175272468,""p_x"":0.5040650406504065,""p_y"":0.5040650406504065,""pad_bottom"":0,""pad_left"":0,""pad_right"":0,""pad_top"":0,""padding_fraction"":0.0,""realized_x0"":6205,""realized_x1"":6328,""realized_y0"":3156,""realized_y1"":3279,""requested_x0"":6205,""requested_x1"":6328,""requested_y0"":3156,""requested_y1"":3279,""shift_x"":0,""shift_y"":0,""side_px"":123,""token_start_col"":6,""token_start_row"":6},""56um"":{""anchor_x"":6267.0,""anchor_y"":3218.0,""fov_um"":56.0,""mpp_x"":0.22690727175272468,""mpp_y"":0.22690727175272468,""p_x"":0.5020242914979757,""p_y"":0.5020242914979757,""pad_bottom"":0,""pad_left"":0,""pad_right"":0,""pad_top"":0,""padding_fraction"":0.0,""realized_x0"":6143,""realized_x1"":6390,""realized_y0"":3094,""realized_y1"":3341,""requested_x0"":6143,""requested_x1"":6390,""requested_y0"":3094,""requested_y1"":3341,""shift_x"":0,""shift_y"":0,""side_px"":247,""token_start_col"":6,""token_start_row"":6}}"
1,002__002__ann11__y0,002,11,0,train,7,datasets/midogpp/raw/MIDOGpp/images/002.tiff,69ffbf39bfb9cec2d1961220904a90fa999c53aeed5e51f3b4fec5630d3ce793,0,1,7215,5412,7045.0,3791.0,50.0,50.0,continuous_half_open_bbox_image_intersection_centroid_v1,7045.0,3791.0,7095.0,3841.0,2500.0,7070.0,3816.0,7045.0,3791.0,7095.0,3841.0,2500.0,1.0,7070.0,3816.0,0.0,0.0,False,0.22690727175272468,0.22690727175272468,tiff,"{""112um"":{""anchor_x"":7070.0,""anchor_y"":3816.0,""fov_um"":112.0,""mpp_x"":0.22690727175272468,""mpp_y"":0.22690727175272468,""p_x"":0.7064777327935222,""p_y"":0.5,""pad_bottom"":0,""pad_left"":0,""pad_right"":0,""pad_top"":0,""padding_fraction"":0.0,""realized_x0"":6721,""realized_x1"":7215,""realized_y0"":3569,""realized_y1"":4063,""requested_x0"":6823,""requested_x1"":7317,""requested_y0"":3569,""requested_y1"":4063,""shift_x"":-102,""shift_y"":0,""side_px"":494,""token_start_col"":9,""token_start_row"":6},""28um"":{""anchor_x"":7070.0,""anchor_y"":3816.0,""fov_um"":28.0,""mpp_x"":0.22690727175272468,""mpp_y"":0.22690727175272468,""p_x"":0.5040650406504065,""p_y"":0.5040650406504065,""pad_bottom"":0,""pad_left"":0,""pad_right"":0,""pad_top"":0,""padding_fraction"":0.0,""realized_x0"":7008,""realized_x1"":7131,""realized_y0"":3754,""realized_y1"":3877,""requested_x0"":7008,""requested_x1"":7131,""requested_y0"":3754,""requested_y1"":3877,""shift_x"":0,""shift_y"":0,""side_px"":123,""token_start_col"":6,""token_start_row"":6},""56um"":{""anchor_x"":7070.0,""anchor_y"":3816.0,""fov_um"":56.0,""mpp_x"":0.22690727175272468,""mpp_y"":0.22690727175272468,""p_x"":0.5020242914979757,""p_y"":0.5020242914979757,""pad_bottom"":0,""pad_left"":0,""pad_right"":0,""pad_top"":0,""padding_fraction"":0.0,""realized_x0"":6946,""realized_x1"":7193,""realized_y0"":3692,""realized_y1"":3939,""requested_x0"":6946,""requested_x1"":7193,""requested_y0"":3692,""requested_y1"":3939,""shift_x"":0,""shift_y"":0,""side_px"":247,""token_start_col"":6,""token_start_row"":6}}"
2,002__002__ann12__y0,002,12,0,train,7,datasets/midogpp/raw/MIDOGpp/images/002.tiff,69ffbf39bfb9cec2d1961220904a90fa999c53aeed5e51f3b4fec5630d3ce793,0,1,7215,5412,4450.0,4059.0,50.0,50.0,continuous_half_open_bbox_image_intersection_centroid_v1,4450.0,4059.0,4500.0,4109.0,2500.0,4475.0,4084.0,4450.0,4059.0,4500.0,4109.0,2500.0,1.0,4475.0,4084.0,0.0,0.0,False,0.22690727175272468,0.22690727175272468,tiff,"{""112um"":{""anchor_x"":4475.0,""anchor_y"":4084.0,""fov_um"":112.0,""mpp_x"":0.22690727175272468,""mpp_y"":0.22690727175272468,""p_x"":0.5,""p_y"":0.5,""pad_bottom"":0,""pad_left"":0,""pad_right"":0,""pad_top"":0,""padding_fraction"":0.0,""realized_x0"":4228,""realized_x1"":4722,""realized_y0"":3837,""realized_y1"":4331,""requested_x0"":4228,""requested_x1"":4722,""requested_y0"":3837,""requested_y1"":4331,""shift_x"":0,""shift_y"":0,""side_px"":494,""token_start_col"":6,""token_start_row"":6},""28um"":{""anchor_x"":4475.0,""anchor_y"":4084.0,""fov_um"":28.0,""mpp_x"":0.22690727175272468,""mpp_y"":0.22690727175272468,""p_x"":0.5040650406504065,""p_y"":0.5040650406504065,""pad_bottom"":0,""pad_left"":0,""pad_right"":0,""pad_top"":0,""padding_fraction"":0.0,""realized_x0"":4413,""realized_x1"":4536,""realized_y0"":4022,""realized_y1"":4145,""requested_x0"":4413,""requested_x1"":4536,""requested_y0"":4022,""requested_y1"":4145,""shift_x"":0,""shift_y"":0,""side_px"":123,""token_start_col"":6,""token_start_row"":6},""56um"":{""anchor_x"":4475.0,""anchor_y"":4084.0,""fov_um"":56.0,""mpp_x"":0.22690727175272468,""mpp_y"":0.22690727175272468,""p_x"":0.5020242914979757,""p_y"":0.5020242914979757,""pad_bottom"":0,""pad_left"":0,""pad_right"":0,""pad_top"":0,""padding_fraction"":0.0,""realized_x0"":4351,""realized_x1"":4598,""realized_y0"":3960,""realized_y1"":4207,""requested_x0"":4351,""requested_x1"":4598,""requested_y0"":3960,""requested_y1"":4207,""shift_x"":0,""shift_y"":0,""side_px"":247,""token_start_col"":6,""token_start_row"":6}}"
3,002__002__ann13__y1,002,13,1,train,7,datasets/midogpp/raw/MIDOGpp/images/002.tiff,69ffbf39bfb9cec2d1961220904a90fa999c53aeed5e51f3b4fec5630d3ce793,0,1,7215,5412,4636.0,4294.0,50.0,50.0,continuous_half_open_bbox_image_intersection_centroid_v1,4636.0,4294.0,4686.0,4344.0,2500.0,4661.0,4319.0,4636.0,4294.0,4686.0,4344.0,2500.0,1.0,4661.0,4319.0,0.0,0.0,False,0.22690727175272468,0.22690727175272468,tiff,"{""112um"":{""anchor_x"":4661.0,""anchor_y"":4319.0,""fov_um"":112.0,""mpp_x"":0.22690727175272468,""mpp_y"":0.22690727175272468,""p_x"":0.5,""p_y"":0.5,""pad_bottom"":0,""pad_left"":0,""pad_right"":0,""pad_top"":0,""padding_fraction"":0.0,""realized_x0"":4414,""realized_x1"":4908,""realized_y0"":4072,""realized_y1"":4566,""requested_x0"":4414,""requested_x1"":4908,""requested_y0"":4072,""requested_y1"":4566,""shift_x"":0,""shift_y"":0,""side_px"":494,""token_start_col"":6,""token_start_row"":6},""28um"":{""anchor_x"":4661.0,""anchor_y"":4319.0,""fov_um"":28.0,""mpp_x"":0.22690727175272468,""mpp_y"":0.22690727175272468,""p_x"":0.5040650406504065,""p_y"":0.5040650406504065,""pad_bottom"":0,""pad_left"":0,""pad_right"":0,""pad_top"":0,""padding_fraction"":0.0,""realized_x0"":4599,""realized_x1"":4722,""realized_y0"":4257,""realized_y1"":4380,""requested_x0"":4599,""requested_x1"":4722,""requested_y0"":4257,""requested_y1"":4380,""shift_x"":0,""shift_y"":0,""side_px"":123,""token_start_col"":6,""token_start_row"":6},""56um"":{""anchor_x"":4661.0,""anchor_y"":4319.0,""fov_um"":56.0,""mpp_x"":0.22690727175272468,""mpp_y"":0.22690727175272468,""p_x"":0.5020242914979757,""p_y"":0.5020242914979757,""pad_bottom"":0,""pad_left"":0,""pad_right"":0,""pad_top"":0,""padding_fraction"":0.0,""realized_x0"":4537,""realized_x1"":4784,""realized_y0"":4195,""realized_y1"":4442,""requested_x0"":4537,""requested_x1"":4784,""requested_y0"":4195,""requested_y1"":4442,""shift_x"":0,""shift_y"":0,""side_px"":247,""token_start_col"":6,""token_start_row"":6}}"
4,002__002__ann14__y1,002,14,1,train,7,datasets/midogpp/raw/MIDOGpp/images/002.tiff,69ffbf39bfb9cec2d1961220904a90fa999c53aeed5e51f3b4fec5630d3ce793,0,1,7215,5412,1306.0,4912.0,50.0,50.0,continuous_half_open_bbox_image_intersection_centroid_v1,1306.0,4912.0,1356.0,4962.0,2500.0,1331.0,4937.0,1306.0,4912.0,1356.0,4962.0,2500.0,1.0,1331.0,4937.0,0.0,0.0,False,0.22690727175272468,0.22690727175272468,tiff,"{""112um"":{""anchor_x"":1331.0,""anchor_y"":4937.0,""fov_um"":112.0,""mpp_x"":0.22690727175272468,""mpp_y"":0.22690727175272468,""p_x"":0.5,""p_y"":0.5,""pad_bottom"":0,""pad_left"":0,""pad_right"":0,""pad_top"":0,""padding_fraction"":0.0,""realized_x0"":1084,""realized_x1"":1578,""realized_y0"":4690,""realized_y1"":5184,""requested_x0"":1084,""requested_x1"":1578,""requested_y0"":4690,""requested_y1"":5184,""shift_x"":0,""shift_y"":0,""side_px"":494,""token_start_col"":6,""token_start_row"":6},""28um"":{""anchor_x"":1331.0,""anchor_y"":4937.0,""fov_um"":28.0,""mpp_x"":0.22690727175272468,""mpp_y"":0.22690727175272468,""p_x"":0.5040650406504065,""p_y"":0.5040650406504065,""pad_bottom"":0,""pad_left"":0,""pad_right"":0,""pad_top"":0,""padding_fraction"":0.0,""realized_x0"":1269,""realized_x1"":1392,""realized_y0"":4875,""realized_y1"":4998,""requested_x0"":1269,""requested_x1"":1392,""requested_y0"":4875,""requested_y1"":4998,""shift_x"":0,""shift_y"":0,""side_px"":123,""token_start_col"":6,""token_start_row"":6},""56um"":{""anchor_x"":1331.0,""anchor_y"":4937.0,""fov_um"":56.0,""mpp_x"":0.22690727175272468,""mpp_y"":0.22690727175272468,""p_x"":0.5020242914979757,""p_y"":0.5020242914979757,""pad_bottom"":0,""pad_left"":0,""pad_right"":0,""pad_top"":0,""padding_fraction"":0.0,""realized_x0"":1207,""realized_x1"":1454,""realized_y0"":4813,""realized_y1"":5060,""requested_x0"":1207,""requested_x1"":1454,""requested_y0"":4813,""requested_y1"":5060,""shift_x"":0,""shift_y"":0,""side_px"":247,""token_start_col"":6,""token_start_row"":6}}"
5,002__002__ann15__y0,002,15,0,train,7,datasets/midogpp/raw/MIDOGpp/images/002.tiff,69ffbf39bfb9cec2d1961220904a90fa999c53aeed5e51f3b4fec5630d3ce793,0,1,7215,5412,4341.0,5213.0,50.0,50.0,continuous_half_open_bbox_image_intersection_centroid_v1,4341.0,5213.0,4391.0,5263.0,2500.0,4366.0,5238.0,4341.0,5213.0,4391.0,5263.0,2500.0,1.0,4366.0,5238.0,0.0,0.0,False,0.22690727175272468,0.22690727175272468,tiff,"{""112um"":{""anchor_x"":4366.0,""anchor_y"":5238.0,""fov_um"":112.0,""mpp_x"":0.22690727175272468,""mpp_y"":0.22690727175272468,""p_x"":0.5,""p_y"":0.6477732793522267,""pad_bottom"":0,""pad_left"":0,""pad_right"":0,""pad_top"":0,""padding_fraction"":0.0,""realized_x0"":4119,""realized_x1"":4613,""realized_y0"":4918,""realized_y1"":5412,""requested_x0"":4119,""requested_x1"":4613,""requested_y0"":4991,""requested_y1"":5485,""shift_x"":0,""shift_y"":-73,""side_px"":494,""token_start_col"":6,""token_start_row"":8},""28um"":{""anchor_x"":4366.0,""anchor_y"":5238.0,""fov_um"":28.0,""mpp_x"":0.22690727175272468,""mpp_y"":0.22690727175272468,""p_x"":0.5040650406504065,""p_y"":0.5040650406504065,""pad_bottom"":0,""pad_left"":0,""pad_right"":0,""pad_top"":0,""padding_fraction"":0.0,""realized_x0"":4304,""realized_x1"":4427,""realized_y0"":5176,""realized_y1"":5299,""requested_x0"":4304,""requested_x1"":4427,""requested_y0"":5176,""requested_y1"":5299,""shift_x"":0,""shift_y"":0,""side_px"":123,""token_start_col"":6,""token_start_row"":6},""56um"":{""anchor_x"":4366.0,""anchor_y"":5238.0,""fov_um"":56.0,""mpp_x"":0.22690727175272468,""mpp_y"":0.22690727175272468,""p_x"":0.5020242914979757,""p_y"":0.5020242914979757,""pad_bottom"":0,""pad_left"":0,""pad_right"":0,""pad_top"":0,""padding_fraction"":0.0,""realized_x0"":4242,""realized_x1"":4489,""realized_y0"":5114,""realized_y1"":5361,""requested_x0"":4242,""requested_x1"":4489,""requested_y0"":5114,""requested_y1"":5361,""shift_x"":0,""shift_y"":0,""side_px"":247,""token_start_col"":6,""token_start_row"":6}}"
6,002__002__ann16__y0,002,16,0,train,7,datasets/midogpp/raw/MIDOGpp/images/002.tiff,69ffbf39bfb9cec2d1961220904a90fa999c53aeed5e51f3b4fec5630d3ce793,0,1,7215,5412,3683.0,5245.0,50.0,50.0,continuous_half_open_bbox_image_intersection_centroid_v1,3683.0,5245.0,3733.0,5295.0,2500.0,3708.0,5270.0,3683.0,5245.0,3733.0,5295.0,2500.0,1.0,3708.0,5270.0,0.0,0.0,False,0.22690727175272468,0.22690727175272468,tiff,"{""112um"":{""anchor_x"":3708.0,""anchor_y"":5270.0,""fov_um"":112.0,""mpp_x"":0.22690727175272468,""mpp_y"":0.22690727175272468,""p_x"":0.5,""p_y"":0.7125506072874493,""pad_bottom"":0,""pad_left"":0,""pad_right"":0,""pad_top"":0,""padding_fraction"":0.0,""realized_x0"":3461,""realized_x1"":3955,""realized_y0"":4918,""realized_y1"":5412,""requested_x0"":3461,""requested_x1"":3955,""requested_y0"":5023,""requested_y1"":5517,""shift_x"":0,""shift_y"":-105,""side_px"":494,""token_start_col"":6,""token_start_row"":9},""28um"":{""anchor_x"":3708.0,""anchor_y"":5270.0,""fov_um"":28.0,""mpp_x"":0.22690727175272468,""mpp_y"":0.22690727175272468,""p_x"":0.5040650406504065,""p_y"":0.5040650406504065,""pad_bottom"":0,""pad_left"":0,""pad_right"":0,""pad_top"":0,""padding_fraction"":0.0,""realized_x0"":3646,""realized_x1"":3769,""realized_y0"":5208,""realized_y1"":5331,""requested_x0"":3646,""requested_x1"":3769,""requested_y0"":5208,""requested_y1"":5331,""shift_x"":0,""shift_y"":0,""side_px"":123,""token_start_col"":6,""token_start_row"":6},""56um"":{""anchor_x"":3708.0,""anchor_y"":5270.0,""fov_um"":56.0,""mpp_x"":0.22690727175272468,""mpp_y"":0.22690727175272468,""p_x"":0.5020242914979757,""p_y"":0.5020242914979757,""pad_bottom"":0,""pad_left"":0,""pad_right"":0,""pad_top"":0,""padding_fraction"":0.0,""realized_x0"":3584,""realized_x1"":3831,""realized_y0"":5146,""realized_y1"":5393,""requested_x0"":3584,""requested_x1"":3831,""requested_y0"":5146,""requested_y1"":5393,""shift_x"":0,""shift_y"":0,""side_px"":247,""token_start_col"":6,""token_start_row"":6}}"
7,002__002__ann17__y1,002,17,1,train,7,datasets/midogpp/raw/MIDOGpp/images/002.tiff,69ffbf39bfb9cec2d1961220904a90fa999c53aeed5e51f3b4fec5630d3ce793,0,1,7215,5412,1291.5,2758.0,50.0,50.0,continuous_half_open_bbox_image_intersection_centroid_v1,1291.5,2758.0,1341.5,2808.0,2500.0,1316.5,2783.0,1291.5,2758.0,1341.5,2808.0,2500.0,1.0,1316.5,2783.0,0.0,0.0,False,0.22690727175272468,0.22690727175272468,tiff,"{""112um"":{""anchor_x"":1316.5,""anchor_y"":2783.0,""fov_um"":112.0,""mpp_x"":0.22690727175272468,""mpp_y"":0.22690727175272468,""p_x"":0.5010121457489879,""p_y"":0.5,""pad_bottom"":0,""pad_left"":0,""pad_right"":0,""pad_top"":0,""padding_fraction"":0.0,""realized_x0"":1069,""realized_x1"":1563,""realized_y0"":2536,""realized_y1"":3030,""requested_x0"":1069,""requested_x1"":1563,""requested_y0"":2536,""requested_y1"":3030,""shift_x"":0,""shift_y"":0,""side_px"":494,""token_start_col"":6,""token_start_row"":6},""28um"":{""anchor_x"":1316.5,""anchor_y"":2783.0,""fov_um"":28.0,""mpp_x"":0.22690727175272468,""mpp_y"":0.22690727175272468,""p_x"":0.5,""p_y"":0.5040650406504065,""pad_bottom"":0,""pad_left"":0,""pad_right"":0,""pad_top"":0,""padding_fraction"":0.0,""realized_x0"":1255,""realized_x1"":1378,""realized_y0"":2721,""realized_y1"":2844,""requested_x0"":1255,""requested_x1"":1378,""requested_y0"":2721,""requested_y1"":2844,""shift_x"":0,""shift_y"":0,""side_px"":123,""token_start_col"":6,""token_start_row"":6},""56um"":{""anchor_x"":1316.5,""anchor_y"":2783.0,""fov_um"":56.0,""mpp_x"":0.22690727175272468,""mpp_y"":0.22690727175272468,""p_x"":0.5,""p_y"":0.5020242914979757,""pad_bottom"":0,""pad_left"":0,""pad_right"":0,""pad_top"":0,""padding_fraction"":0.0,""realized_x0"":1193,""realized_x1"":1440,""realized_y0"":2659,""realized_y1"":2906,""requested_x0"":1193,""requested_x1"":1440,""requested_y0"":2659,""requested_y1"":2906,""shift_x"":0,""shift_y"":0,""side_px"":247,""token_start_col"":6,""token_start_row"":6}}"
8,002__002__ann18__y1,002,18,1,train,7,datasets/midogpp/raw/MIDOGpp/images/002.tiff,69ffbf39bfb9cec2d1961220904a90fa999c53aeed5e51f3b4fec5630d3ce793,0,1,7215,5412,3506.5,2461.5,50.0,50.0,continuous_half_open_bbox_image_intersection_centroid_v1,3506.5,2461.5,3556.5,2511.5,2500.0,3531.5,2486.5,3506.5,2461.5,3556.5,2511.5,2500.0,1.0,3531.5,2486.5,0.0,0.0,False,0.22690727175272468,0.22690727175272468,tiff,"{""112um"":{""anchor_x"":3531.5,""anchor_y"":2486.5,""fov_um"":112.0,""mpp_x"":0.22690727175272468,""mpp_y"":0.22690727175272468,""p_x"":0.5010121457489879,""p_y"":0.5010121457489879,""pad_bottom"":0,""pad_left"":0,""pad_right"":0,""pad_top"":0,""padding_fraction"":0.0,""realized_x0"":3284,""realized_x1"":3778,""realized_y0"":2239,""realized_y1"":2733,""requested_x0"":3284,""requested_x1"":3778,""requested_y0"":2239,""requested_y1"":2733,""shift_x"":0,""shift_y"":0,""side_px"":494,""token_start_col"":6,""token_start_row"":6},""28um"":{""anchor_x"":3531.5,""anchor_y"":2486.5,""fov_um"":28.0,""mpp_x"":0.22690727175272468,""mpp_y"":0.22690727175272468,""p_x"":0.5,""p_y"":0.5,""pad_bottom"":0,""pad_left"":0,""pad_right"":0,""pad_top"":0,""padding_fraction"":0.0,""realized_x0"":3470,""realized_x1"":3593,""realized_y0"":2425,""realized_y1"":2548,""requested_x0"":3470,""requested_x1"":3593,""requested_y0"":2425,""requested_y1"":2548,""shift_x"":0,""shift_y"":0,""side_px"":123,""token_start_col"":6,""token_start_row"":6},""56um"":{""anchor_x"":3531.5,""anchor_y"":2486.5,""fov_um"":56.0,""mpp_x"":0.22690727175272468,""mpp_y"":0.22690727175272468,""p_x"":0.5,""p_y"":0.5,""pad_bottom"":0,""pad_left"":0,""pad_right"":0,""pad_top"":0,""padding_fraction"":0.0,""realized_x0"":3408,""realized_x1"":3655,""realized_y0"":2363,""realized_y1"":2610,""requested_x0"":3408,""requested_x1"":3655,""requested_y0"":2363,""requested_y1"":2610,""shift_x"":0,""shift_y"":0,""side_px"":247,""token_start_col"":6,""token_start_row"":6}}"
9,002__002__ann19__y0,002,19,0,train,7,datasets/midogpp/raw/MIDOGpp/images/002.tiff,69ffbf39bfb9cec2d1961220904a90fa999c53aeed5e51f3b4fec5630d3ce793,0,1,7215,5412,4582.0,2336.0,50.0,50.0,continuous_half_open_bbox_image_intersection_centroid_v1,4582.0,2336.0,4632.0,2386.0,2500.0,4607.0,2361.0,4582.0,2336.0,4632.0,2386.0,2500.0,1.0,4607.0,2361.0,0.0,0.0,False,0.22690727175272468,0.22690727175272468,tiff,"{""112um"":{""anchor_x"":4607.0,""anchor_y"":2361.0,""fov_um"":112.0,""mpp_x"":0.22690727175272468,""mpp_y"":0.22690727175272468,""p_x"":0.5,""p_y"":0.5,""pad_bottom"":0,""pad_left"":0,""pad_right"":0,""pad_top"":0,""padding_fraction"":0.0,""realized_x0"":4360,""realized_x1"":4854,""realized_y0"":2114,""realized_y1"":2608,""requested_x0"":4360,""requested_x1"":4854,""requested_y0"":2114,""requested_y1"":2608,""shift_x"":0,""shift_y"":0,""side_px"":494,""token_start_col"":6,""token_start_row"":6},""28um"":{""anchor_x"":4607.0,""anchor_y"":2361.0,""fov_um"":28.0,""mpp_x"":0.22690727175272468,""mpp_y"":0.22690727175272468,""p_x"":0.5040650406504065,""p_y"":0.5040650406504065,""pad_bottom"":0,""pad_left"":0,""pad_right"":0,""pad_top"":0,""padding_fraction"":0.0,""realized_x0"":4545,""realized_x1"":4668,""realized_y0"":2299,""realized_y1"":2422,""requested_x0"":4545,""requested_x1"":4668,""requested_y0"":2299,""requested_y1"":2422,""shift_x"":0,""shift_y"":0,""side_px"":123,""token_start_col"":6,""token_start_row"":6},""56um"":{""anchor_x"":4607.0,""anchor_y"":2361.0,""fov_um"":56.0,""mpp_x"":0.22690727175272468,""mpp_y"":0.22690727175272468,""p_x"":0.5020242914979757,""p_y"":0.5020242914979757,""pad_bottom"":0,""pad_left"":0,""pad_right"":0,""pad_top"":0,""padding_fraction"":0.0,""realized_x0"":4483,""realized_x1"":4730,""realized_y0"":2237,""realized_y1"":2484,""requested_x0"":4483,""requested_x1"":4730,""requested_y0"":2237,""requested_y1"":2484,""shift_x"":0,""shift_y"":0,""side_px"":247,""token_start_col"":6,""token_start_row"":6}}"
