heldout_center,row_role,status,tp,fp,tn,fn
0,source_only_transfer,valid,773.0,207.0,417.0,389.0
0,pooled_diagnostic_ceiling,valid,1073.0,94.0,530.0,89.0
1,source_only_transfer,valid,182.0,79.0,292.0,189.0
1,pooled_diagnostic_ceiling,valid,329.0,33.0,338.0,42.0
2,source_only_transfer,valid,894.0,598.0,1104.0,808.0
2,pooled_diagnostic_ceiling,valid,1416.0,197.0,1505.0,286.0
3,source_only_transfer,valid,332.0,203.0,179.0,50.0
3,pooled_diagnostic_ceiling,valid,350.0,23.0,359.0,32.0
4,pooled_diagnostic_ceiling,valid,109.0,5.0,114.0,10.0
5,source_only_transfer,valid,196.0,80.0,233.0,117.0
5,pooled_diagnostic_ceiling,valid,278.0,15.0,298.0,35.0
6,source_only_transfer,valid,150.0,79.0,104.0,33.0
6,pooled_diagnostic_ceiling,valid,167.0,15.0,168.0,16.0
7,source_only_transfer,valid,202.0,85.0,164.0,47.0
7,pooled_diagnostic_ceiling,valid,227.0,17.0,232.0,22.0
8,source_only_transfer,valid,538.0,124.0,282.0,172.0
8,pooled_diagnostic_ceiling,valid,658.0,51.0,355.0,52.0
9,source_only_transfer,valid,102.0,65.0,108.0,71.0
9,pooled_diagnostic_ceiling,valid,147.0,14.0,159.0,26.0
