heldout_center,heldout_tumor_domain,row_role,n,target_prevalence,predicted_positive_rate,tp,fp,tn,fn,sensitivity,specificity,precision,macro_f1,balanced_accuracy,auroc,pr_auc,pr_auc_baseline
0,canine cutaneous mast cell tumor,pooled_diagnostic_ceiling,1786,0.6506159014557671,0.6534154535274356,1073.0,94.0,530.0,89.0,0.923407917383821,0.8493589743589743,0.919451585261354,0.8871005237747012,0.8863834458713977,0.9582023147535195,0.9746863409191634,0.6506159014557671
0,canine cutaneous mast cell tumor,source_only_transfer,1786,0.6506159014557671,0.5487122060470325,773.0,207.0,417.0,389.0,0.6652323580034424,0.6682692307692307,0.7887755102040817,0.6524860760154878,0.6667507943863366,0.7203470475307825,0.8133490302766349,0.6506159014557671
1,canine lung cancer,pooled_diagnostic_ceiling,742,0.5,0.48787061994609165,329.0,33.0,338.0,42.0,0.8867924528301887,0.9110512129380054,0.9088397790055248,0.8989069598879529,0.8989218328840971,0.9694059182946941,0.969947971308092,0.5
1,canine lung cancer,source_only_transfer,742,0.5,0.35175202156334234,182.0,79.0,292.0,189.0,0.49056603773584906,0.7870619946091644,0.6973180076628352,0.6306976882391395,0.6388140161725067,0.7014334391642024,0.7109747192312572,0.5
2,canine lymphoma,pooled_diagnostic_ceiling,3404,0.5,0.47385428907168037,1416.0,197.0,1505.0,286.0,0.8319623971797885,0.8842538190364277,0.8778673279603224,0.858011044713862,0.8581081081081081,0.9323430235528535,0.9329063576018549,0.5
2,canine lymphoma,source_only_transfer,3404,0.5,0.4383078730904818,894.0,598.0,1104.0,808.0,0.5252643948296122,0.6486486486486487,0.599195710455764,0.5853785061156797,0.5869565217391304,0.6290556765317916,0.5990199387341945,0.5
3,canine soft tissue sarcoma,pooled_diagnostic_ceiling,764,0.5,0.4882198952879581,350.0,23.0,359.0,32.0,0.9162303664921466,0.9397905759162304,0.938337801608579,0.9280004797683404,0.9280104712041886,0.9774266056303282,0.9809395523293657,0.5
3,canine soft tissue sarcoma,source_only_transfer,764,0.5,0.7002617801047121,332.0,203.0,179.0,50.0,0.8691099476439791,0.468586387434555,0.6205607476635514,0.6550125203690251,0.668848167539267,0.7456347139606919,0.7341671882742856,0.5
4,canine soft tissue sarcoma,pooled_diagnostic_ceiling,238,0.5,0.4789915966386555,109.0,5.0,114.0,10.0,0.9159663865546218,0.957983193277311,0.956140350877193,0.936946961267419,0.9369747899159664,0.9802273850716758,0.979258510083396,0.5
5,human breast cancer,pooled_diagnostic_ceiling,626,0.5,0.4680511182108626,278.0,15.0,298.0,35.0,0.8881789137380192,0.952076677316294,0.9488054607508533,0.9200461841849819,0.9201277955271565,0.9700721656850637,0.9692437180456731,0.5
5,human breast cancer,source_only_transfer,626,0.5,0.44089456869009586,196.0,80.0,233.0,117.0,0.6261980830670927,0.744408945686901,0.7101449275362319,0.6842002832215555,0.6853035143769968,0.7367534628300789,0.7277349253919763,0.5
6,human breast cancer,pooled_diagnostic_ceiling,366,0.5,0.4972677595628415,167.0,15.0,168.0,16.0,0.912568306010929,0.9180327868852459,0.9175824175824175,0.9152999141502742,0.9153005464480874,0.9704380542864821,0.9701536208628307,0.5
6,human breast cancer,source_only_transfer,366,0.5,0.6256830601092896,150.0,79.0,104.0,33.0,0.819672131147541,0.5683060109289617,0.6550218340611353,0.6890776699029126,0.6939890710382514,0.7599808892472155,0.7319345370799099,0.5
7,human breast cancer,pooled_diagnostic_ceiling,498,0.5,0.4899598393574297,227.0,17.0,232.0,22.0,0.9116465863453815,0.9317269076305221,0.930327868852459,0.9216788518382605,0.9216867469879518,0.9802745117014242,0.9799453190448797,0.5
7,human breast cancer,source_only_transfer,498,0.5,0.5763052208835341,202.0,85.0,164.0,47.0,0.8112449799196787,0.6586345381526104,0.7038327526132404,0.7333874107722258,0.7349397590361446,0.8094062998983889,0.8097364302058531,0.5
8,human melanoma,pooled_diagnostic_ceiling,1116,0.6362007168458781,0.6353046594982079,658.0,51.0,355.0,52.0,0.9267605633802817,0.874384236453202,0.9280677009873061,0.9003612023435246,0.9005723999167419,0.9662214667314231,0.9801200076629406,0.6362007168458781
8,human melanoma,source_only_transfer,1116,0.6362007168458781,0.5931899641577061,538.0,124.0,282.0,172.0,0.7577464788732394,0.6945812807881774,0.8126888217522659,0.7200352566275681,0.7261638798307084,0.789325608825366,0.8465305240870806,0.6362007168458781
9,human neuroendocrine tumor,pooled_diagnostic_ceiling,346,0.5,0.4653179190751445,147.0,14.0,159.0,26.0,0.8497109826589595,0.9190751445086706,0.9130434782608695,0.8842538386913323,0.8843930635838151,0.9555614955394434,0.9592947092168695,0.5
9,human neuroendocrine tumor,source_only_transfer,346,0.5,0.48265895953757226,102.0,65.0,108.0,71.0,0.5895953757225434,0.6242774566473989,0.6107784431137725,0.6068181818181818,0.6069364161849711,0.6616993551404992,0.6584805706897494,0.5
